process,dimension,method,seed,n_epochs,test_loss,adversarial_loss,adversarial_minus_test,adversarial_ratio_to_test,best_val_loss,best_epoch,final_train_loss,final_val_loss,min_train_loss,train_val_gap_at_best,final_train_val_gap,overfit_ratio,convergence_epoch_105,train_auc,val_auc,late_val_mean,late_val_std,path,adversarial_path,test_rank,relative_test_loss,percent_worse_than_best,adversarial_rank,relative_adversarial_loss,percent_worse_than_best_adversarial
matern,2,pi_0,0,500,0.2260218518120902,0.44466792543729144,0.21864607362520125,1.9673669686016864,0.17336577867589345,226,0.15840301797797643,0.18727389922956142,0.1270951430646249,0.01923013802320725,0.02887088125158499,1.182262191845354,97,0.19924495718995772,0.22885941612699515,0.20044753595096307,0.009577400769214935,/Users/qp252676/Desktop/point-process-tda/results/params/2d/matern/pi_0/results.pt,/Users/qp252676/Desktop/point-process-tda/data/params/2d/matern/adversarial_images.pkl,1,1.0,0.0,1,1.0,0.0
matern,2,betti_0,0,500,0.27223810127803255,0.5785042941570282,0.30626619287899565,2.1249938617747364,0.17464065115626265,61,0.05374104483294363,0.23665201518593765,0.030245705396709045,-0.04786281407248519,0.18291097035299403,4.403561857079271,57,0.09332080516082399,0.231346536529158,0.23270901390692084,0.017997150643366204,/Users/qp252676/Desktop/point-process-tda/results/params/2d/matern/betti_0/results.pt,/Users/qp252676/Desktop/point-process-tda/data/params/2d/matern/adversarial_betti.pkl,2,1.2044769082963074,20.447690829630744,2,1.3009804869288033,30.098048692880322
matern,2,pi_1,0,500,0.5692620050339472,0.9124463001887003,0.3431842951547531,1.6028582482582652,0.5135531454551511,463,0.4706245585890014,0.5703261262033044,0.43721830600708567,0.04609042254820206,0.09970156761430299,1.2118494791543015,241,0.5291350035704387,0.57156070617032,0.5496601340247363,0.022354759003008765,/Users/qp252676/Desktop/point-process-tda/results/params/2d/matern/pi_1/results.pt,/Users/qp252676/Desktop/point-process-tda/data/params/2d/matern/adversarial_images.pkl,3,2.5186149059039638,151.86149059039636,5,2.051972377570049,105.19723775700493
matern,2,pairwise,0,500,0.6775673769769215,0.8556839823722839,0.17811660539536245,1.26287659566796,0.5085442938455721,393,0.3863054041031729,0.5633898493720264,0.37023297770653363,0.10977904828688773,0.17708444526885353,1.4584053015772944,341,0.50821350378971,0.6379604799445991,0.5447246070315198,0.013021154068669502,/Users/qp252676/Desktop/point-process-tda/results/params/2d/matern/pairwise/results.pt,/Users/qp252676/Desktop/point-process-tda/data/params/2d/matern/adversarial_features.pkl,4,2.997795883648616,199.7795883648616,4,1.9243213495346998,92.43213495346998
matern,2,betti_1,0,500,0.716027713957287,0.8083997567494711,0.09237204279218403,1.1290062395513567,0.5552067320521284,7,0.04403892724528677,0.860775533245831,0.034334765732713005,0.053540689117700824,0.8167366060005442,19.545787944640608,5,0.06865293809350645,0.8913173457136299,0.8639813491484014,0.00638209097488473,/Users/qp252676/Desktop/point-process-tda/results/params/2d/matern/betti_1/results.pt,/Users/qp252676/Desktop/point-process-tda/data/params/2d/matern/adversarial_betti.pkl,5,3.1679579129923128,216.79579129923124,3,1.8179853110711361,81.79853110711362
matern,2,raw_pc,0,500,0.7642487202371869,0.9972048997879028,0.2329561795507159,1.3048172321157663,0.6682021021842957,176,0.3655488481793379,0.7850767243199233,0.35755989789345105,0.1243061352270255,0.41952787614058534,2.147665703858997,72,0.5188535529069469,0.7481508551425753,0.8029054132903495,0.021407306089444793,/Users/qp252676/Desktop/point-process-tda/results/params/2d/matern/raw_pc/results.pt,/Users/qp252676/Desktop/point-process-tda/data/params/2d/matern/adversarial_clouds.pkl,6,3.381304569049223,238.13045690492226,6,2.2425833813114364,124.25833813114367
