set,family,cell_id,level_id,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,target_delta,delta_tilde,feasible,why,reps
B,matern2,3,,125.0,,,,,,,0.26,,,,,2.1347448244788794,1,,400
B,matern2,4,,125.0,,,,,,,0.4,,,,,3.3180748544701038,1,,400
B,matern2,5,,250.0,,,,,,,0.07,,,,,0.19800152802279652,1,,400
B,matern2,6,,250.0,,,,,,,0.11,,,,,0.5348388025137331,1,,400
B,matern2,7,,250.0,,,,,,,0.17,,,,,2.1190993908220084,1,,400
B,matern2,8,,250.0,,,,,,,0.26,,,,,3.2393109915916742,1,,400
B,matern2,9,,250.0,,,,,,,0.4,,,,,4.978416149684614,1,,400
B,matern2,10,,500.0,,,,,,,0.07,,,,,0.197000955760184,1,,400
B,matern2,11,,500.0,,,,,,,0.11,,,,,0.5041011224780809,1,,400
B,matern2,12,,500.0,,,,,,,0.17,,,,,1.3477020512730793,1,,400
B,matern2,13,,500.0,,,,,,,0.26,,,,,4.5101131926320885,1,,400
B,matern2,14,,500.0,,,,,,,0.4,,,,,7.100604636723403,1,,400
B,lgcp,0,,125.0,,,,,,,,,0.32794736013978476,0.6,0.5,0.49999999999999983,1,,400
B,lgcp,1,,125.0,,,,,,,,,0.630406387933645,0.6,1.0,1.0000000000000002,1,,400
B,lgcp,2,,125.0,,,,,,,,,1.1709720036373925,0.6,2.0,2.0,1,,400
B,lgcp,3,,125.0,,,,,,,,,2.0559017434047315,0.6,4.0,3.9999999999999996,0,sigma2 outside interior,400
B,lgcp,4,,125.0,,,,,,,,,3.327914078079684,0.6,8.0,8.000000000000002,0,sigma2 outside interior,400
B,lgcp,5,,125.0,,,,,,,,,0.2275225841526579,0.9,0.5,0.4999999999999999,1,,400
B,lgcp,6,,125.0,,,,,,,,,0.44244161881075905,0.9,1.0,1.0,1,,400
B,lgcp,7,,125.0,,,,,,,,,0.8388850013159115,0.9,2.0,1.9999999999999998,1,,400
B,lgcp,8,,125.0,,,,,,,,,1.5225235419080143,0.9,4.0,3.9999999999999987,1,,400
B,lgcp,9,,125.0,,,,,,,,,2.573188961056271,0.9,8.0,7.999999999999999,0,sigma2 outside interior,400
B,lgcp,10,,125.0,,,,,,,,,0.1557422829326456,1.4,0.5,0.5000000000000002,1,,400
B,lgcp,11,,125.0,,,,,,,,,0.3052357331783294,1.4,1.0,0.9999999999999994,1,,400
B,lgcp,12,,125.0,,,,,,,,,0.5871462711877482,1.4,2.0,1.9999999999999996,1,,400
B,lgcp,13,,125.0,,,,,,,,,1.092188072552476,1.4,4.0,3.999999999999999,1,,400
B,lgcp,14,,125.0,,,,,,,,,1.9239084664612132,1.4,8.0,8.0,1,,400
B,lgcp,15,,250.0,,,,,,,,,0.21952795892941013,0.6,0.5,0.4999999999999999,1,,400
B,lgcp,16,,250.0,,,,,,,,,0.42768553653978486,0.6,1.0,0.9999999999999999,1,,400
B,lgcp,17,,250.0,,,,,,,,,0.8134433481240909,0.6,2.0,2.0000000000000004,1,,400
B,lgcp,18,,250.0,,,,,,,,,1.4817400721407143,0.6,4.0,4.000000000000001,1,,400
B,lgcp,19,,250.0,,,,,,,,,2.5243728127040512,0.6,8.0,8.0,0,sigma2 outside interior,400
B,lgcp,20,,250.0,,,,,,,,,0.1520824411476573,0.9,0.5,0.49999999999999994,1,,400
B,lgcp,21,,250.0,,,,,,,,,0.29857019344888774,0.9,1.0,1.0,1,,400
B,lgcp,22,,250.0,,,,,,,,,0.5760711447366365,0.9,2.0,1.9999999999999993,1,,400
B,lgcp,23,,250.0,,,,,,,,,1.0769913762274392,0.9,4.0,3.9999999999999982,1,,400
B,lgcp,24,,250.0,,,,,,,,,1.910030954256831,0.9,8.0,8.0,1,,400
B,lgcp,25,,250.0,,,,,,,,,0.1034135777924343,1.4,0.5,0.5000000000000001,1,,400
B,lgcp,26,,250.0,,,,,,,,,0.2041251273653799,1.4,1.0,1.0000000000000002,1,,400
B,lgcp,27,,250.0,,,,,,,,,0.3979107769167521,1.4,2.0,2.0,1,,400
B,lgcp,28,,250.0,,,,,,,,,0.757668580639956,1.4,4.0,3.9999999999999996,1,,400
B,lgcp,29,,250.0,,,,,,,,,1.3819466978778727,1.4,8.0,7.999999999999999,1,,400
B,lgcp,30,,500.0,,,,,,,,,0.15466769614493645,0.6,0.5,0.5,1,,400
B,lgcp,31,,500.0,,,,,,,,,0.30359329246430067,0.6,1.0,0.9999999999999997,1,,400
B,lgcp,32,,500.0,,,,,,,,,0.5855644493283118,0.6,2.0,1.9999999999999996,1,,400
B,lgcp,33,,500.0,,,,,,,,,1.0935350931798347,0.6,4.0,4.0,1,,400
B,lgcp,34,,500.0,,,,,,,,,1.9328466484934432,0.6,8.0,8.0,1,,400
B,lgcp,35,,500.0,,,,,,,,,0.1060818381963662,0.9,0.5,0.4999999999999999,1,,400
B,lgcp,36,,500.0,,,,,,,,,0.2093568384200585,0.9,1.0,1.0,1,,400
B,lgcp,37,,500.0,,,,,,,,,0.4079115945223459,0.9,2.0,1.9999999999999998,1,,400
B,lgcp,38,,500.0,,,,,,,,,0.7761881616982265,0.9,4.0,4.0,1,,400
B,lgcp,39,,500.0,,,,,,,,,1.4172202125344133,0.9,8.0,8.0,1,,400
B,lgcp,40,,500.0,,,,,,,,,0.07156598989344481,1.4,0.5,0.5,0,sigma2 outside interior,400
B,lgcp,41,,500.0,,,,,,,,,0.14184494266164055,1.4,1.0,1.0,1,,400
B,lgcp,42,,500.0,,,,,,,,,0.2786908039448439,1.4,2.0,1.9999999999999996,1,,400
B,lgcp,43,,500.0,,,,,,,,,0.5384508242539636,1.4,4.0,4.0,1,,400
B,lgcp,44,,500.0,,,,,,,,,1.0090695804496879,1.4,8.0,8.000000000000002,1,,400
C,poisson,0,0,125.0,,,,,,,,,,,,0.0,1,,2000
C,poisson,1,0,250.0,,,,,,,,,,,,0.0,1,,2000
C,poisson,2,0,500.0,,,,,,,,,,,,0.0,1,,2000
C,thomas,0,0,125.0,0.26003914979799325,1.0,,,,,,,,,,0.10000000000000005,1,,300
C,thomas,0,1,125.0,0.34355538765264804,1.0,,,,,,,,,,0.13198322619448075,1,,300
C,thomas,0,2,125.0,0.45389436350969065,1.0,,,,,,,,,,0.17413995438374258,1,,300
C,thomas,0,3,125.0,0.5996706808573294,1.0,,,,,,,,,,0.22966556363549984,1,,300
