family,coordinate,kind,dims,explained,logloss,logloss_null,logloss_ceiling,nbar_gain,ambiguous
thomas,sigma,raw,1,0.7899373529793556,0.40472319541728197,0.6891713605285088,0.32908183692465326,0.00324028710996608,0.7671081081081081
thomas,mu,raw,1,-0.0006317965221596595,0.6893988638371878,0.6891713605285088,0.32908183692465326,-0.00035659625666774065,0.9999729729729729
thomas,kappa,raw,1,0.0008029514539793205,0.6888822261219684,0.6891713605285088,0.32908183692465326,-0.0012789371523282116,0.999945945945946
thomas,omega,physical,1,0.9350700768748583,0.3524624220104205,0.6891713605285088,0.32908183692465326,0.05669263474866858,0.641
thomas,omega + nbar,physical,2,0.9917627116235269,0.33204799817192504,0.6891713605285088,0.32908183692465326,,
thomas,omega + mu,physical,2,0.9381107087029489,0.35136752234398866,0.6891713605285088,0.32908183692465326,,
thomas,zeta,snr,1,0.7235241470506852,0.42863789510114164,0.6891713605285088,0.32908183692465326,0.002750464825576882,0.7517297297297297
thomas,delta_tilde,delta,1,0.8607026108897331,0.3792413674086302,0.6891713605285088,0.32908183692465326,0.039062010795468304,0.7041351351351351
thomas,delta_tilde_hi,delta,1,0.8605885235645533,0.3792824490592034,0.6891713605285088,0.32908183692465326,0.03889465667315847,0.7043243243243243
thomas,omega · n̄^a,combined,2,0.9745154426232261,0.3382585590497109,0.6891713605285088,0.32908183692465326,,
nested,sigma1,raw,1,0.5143300776419788,0.3498873732905466,0.4747374729266777,0.2319943298296911,-0.00885479348981385,0.5295135135135135
nested,sigma2,raw,1,0.6906379382108425,0.30708984906335535,0.4747374729266777,0.2319943298296911,-0.002170437118161468,0.4891351351351351
nested,mu1,raw,1,0.020962359769219393,0.46964900382956754,0.4747374729266777,0.2319943298296911,0.018650002981294284,0.9995135135135135
nested,mu2,raw,1,0.025909773620125726,0.46844805304119697,0.4747374729266777,0.2319943298296911,0.006071290245899486,0.9563243243243243
nested,omega_outer,physical,1,0.6070085170595981,0.32739031760899,0.4747374729266777,0.2319943298296911,0.009558011090235512,0.48445945945945945
nested,omega_inner,physical,1,0.886525787686755,0.25953941678706294,0.4747374729266777,0.2319943298296911,0.09740281735426896,0.3806756756756757
nested,meta_size,physical,1,0.009471320332743385,0.47243837485982915,0.4747374729266777,0.2319943298296911,0.00020298834741639725,0.9895675675675676
nested,omega_inner + omega_outer,physical,2,0.8984837644880266,0.25663669991324145,0.4747374729266777,0.2319943298296911,,
nested,zeta_outer,snr,1,0.5148165858193112,0.34976927676643854,0.4747374729266777,0.2319943298296911,0.008206889923524177,0.5202972972972973
nested,zeta_inner,snr,1,0.7095061673870925,0.30250971580843816,0.4747374729266777,0.2319943298296911,0.019436228733054534,0.46518918918918917
nested,zeta,snr,1,0.7717739192800135,0.2873946460003672,0.4747374729266777,0.2319943298296911,-0.0006039620779054201,0.42905405405405406
nested,delta_tilde,delta,1,0.8454643684858603,0.2695067947439111,0.4747374729266777,0.2319943298296911,0.047200281615811114,0.39578378378378376
nested,delta_tilde_hi,delta,1,0.8442841522295353,0.2697932841475056,0.4747374729266777,0.2319943298296911,0.048701965365926726,0.396054054054054
nested,omega_inner · n̄^a,combined,2,0.9826089135335301,0.23621589682043348,0.4747374729266777,0.2319943298296911,,
matern2,R,raw,1,0.3234552413881518,0.28916504855654046,0.35853982221358643,0.14405953319642667,0.675555962683418,0.46778378378378377
matern2,lam_p,raw,1,0.22736433944795614,0.3097746529765932,0.35853982221358643,0.14405953319642667,0.520807537709347,0.4791351351351351
matern2,core,physical,1,0.7240071192657703,0.20325456602298275,0.35853982221358643,0.14405953319642667,0.27752801231847557,0.3042972972972973
matern2,core + nbar,physical,2,1.0015351315842458,0.14373027773055824,0.35853982221358643,0.14405953319642667,,
matern2,zeta,snr,1,0.9720025501605799,0.15006443432972894,0.35853982221358643,0.14405953319642667,0.028538483120073614,0.22756756756756757
matern2,delta_tilde,delta,1,0.9914474013089806,0.1458938970355243,0.35853982221358643,0.14405953319642667,0.0009111010722470939,0.2246216216216216
matern2,delta_tilde_lo,delta,1,0.9913548932066135,0.1459137382000564,0.35853982221358643,0.14405953319642667,0.0007795072890494697,0.22556756756756757
matern2,zeta · n̄^a,combined,2,0.9915289925823633,0.1458763973156279,0.35853982221358643,0.14405953319642667,,
lgcp,sigma2,raw,1,0.5339824999665945,0.46540442929608616,0.6246176044867514,0.32645581978289784,0.04251054367722119,0.7273243243243244
lgcp,s,raw,1,0.08105859424501863,0.6004490293610711,0.6246176044867514,0.32645581978289784,0.06256781820116605,0.999945945945946
lgcp,s_rel,physical,1,0.11825487143519108,0.5893585209697101,0.6246176044867514,0.32645581978289784,0.02548308638502023,0.969
lgcp,sigma2 + s_rel,physical,2,0.9393811065952278,0.3445300572272374,0.6246176044867514,0.32645581978289784,,
lgcp,zeta,snr,1,0.9653170344554598,0.3367969546884802,0.6246176044867514,0.32645581978289784,0.013206052630952807,0.5581621621621622
lgcp,delta_tilde,delta,1,0.9583752147502024,0.3388667400408921,0.6246176044867514,0.32645581978289784,0.008600417049217927,0.5425675675675675
lgcp,delta_tilde_hi,delta,1,0.9592421541225237,0.33860825185041077,0.6246176044867514,0.32645581978289784,0.008694590131669263,0.5443513513513514
lgcp,zeta · n̄^a,combined,2,0.9648867382729852,0.3369252525661981,0.6246176044867514,0.32645581978289784,,
