model,accuracy all,accuracy regime 0.5,accuracy regime 0.9,nll,recall poisson,recall thomas,recall nested,recall lgcp,recall matern2,recall ring,recall matern1,recall cell,detected poisson,detected thomas,detected nested,detected lgcp,detected matern2,detected ring,detected matern1,detected cell
hgb_classical,0.4674478769302368,0.47469863295555115,0.530371904373169,1.777316927909851,0.4375,0.2916666666666667,0.3541666666666667,0.4375,0.5520833333333334,0.25,0.5208333333333334,0.8958333333333334,0.5625,0.78125,0.9895833333333334,0.8541666666666666,0.96875,0.7708333333333334,0.96875,0.9375
hgb_small,0.4609375,0.4739382863044739,0.5291965007781982,1.3579496145248413,0.4583333333333333,0.25,0.3645833333333333,0.4479166666666667,0.4583333333333333,0.3125,0.5208333333333334,0.875,0.5416666666666666,0.78125,0.9791666666666666,0.8541666666666666,0.9375,0.7916666666666666,0.9479166666666666,0.9479166666666666
linear_classical,0.4361979067325592,0.4479242265224457,0.504804253578186,1.3446025848388672,0.4895833333333333,0.22916666666666666,0.3125,0.53125,0.4375,0.20833333333333334,0.5208333333333334,0.7604166666666666,0.5104166666666666,0.75,0.9375,0.8229166666666666,0.9270833333333334,0.8020833333333334,0.9375,0.8854166666666666
