family,coordinate,kind,tau,boundary,direction,pool_fraction
thomas,sigma,raw,0.3,0.2711197302930752,decreasing,0.6281351351351351
thomas,sigma,raw,0.5,0.1880727267809991,decreasing,0.5268918918918919
thomas,sigma,raw,0.7,0.1319385819235941,decreasing,0.4282972972972973
thomas,sigma,raw,0.9,0.0655924448700329,decreasing,0.23259459459459458
thomas,mu,raw,0.3,1.000035751161504,increasing,0.9999729729729729
thomas,mu,raw,0.5,1.0000780196349577,increasing,0.9998918918918919
thomas,mu,raw,0.7,79.1225703164258,increasing,0.0013513513513513514
thomas,mu,raw,0.9,,increasing,0.0
thomas,kappa,raw,0.3,10.002165370354131,increasing,0.9999189189189189
thomas,kappa,raw,0.5,10.045246166576716,increasing,0.9985675675675676
thomas,kappa,raw,0.7,934.173389541498,increasing,2.7027027027027027e-05
thomas,kappa,raw,0.9,934.173389541498,increasing,2.7027027027027027e-05
thomas,omega,physical,0.3,1.660473140284603,decreasing,0.590945945945946
thomas,omega,physical,0.5,1.2473050256945735,decreasing,0.5094864864864865
thomas,omega,physical,0.7,0.9799739567198411,decreasing,0.44227027027027027
thomas,omega,physical,0.9,0.6774256643637386,decreasing,0.33916216216216216
thomas,zeta,snr,0.3,1.1223208257522528,increasing,0.6512162162162162
thomas,zeta,snr,0.5,1.7380764745904946,increasing,0.529972972972973
thomas,zeta,snr,0.7,3.015036625313329,increasing,0.37727027027027027
thomas,zeta,snr,0.9,4.827767805574852,increasing,0.24175675675675676
thomas,delta_tilde,delta,0.3,0.0297866042654157,increasing,0.5917027027027028
thomas,delta_tilde,delta,0.5,0.4854020602992867,increasing,0.5171891891891892
thomas,delta_tilde,delta,0.7,1.2693865765758598,increasing,0.4255135135135135
thomas,delta_tilde,delta,0.9,2.85646654738922,increasing,0.2954864864864865
thomas,delta_tilde_hi,delta,0.3,0.0372174332899884,increasing,0.5917837837837838
thomas,delta_tilde_hi,delta,0.5,0.6081973997799942,increasing,0.5174864864864865
thomas,delta_tilde_hi,delta,0.7,1.608915421194825,increasing,0.4243513513513513
thomas,delta_tilde_hi,delta,0.9,3.594560947290103,increasing,0.2951621621621622
nested,sigma1,raw,0.3,1.4995837934908287,decreasing,0.999945945945946
nested,sigma1,raw,0.5,1.2493757557347724,decreasing,0.9327837837837838
nested,sigma1,raw,0.7,0.7407224927012759,decreasing,0.7257297297297297
nested,sigma1,raw,0.9,0.3625599973934237,decreasing,0.4704864864864865
nested,sigma2,raw,0.3,0.3234940029349652,decreasing,0.9512972972972973
nested,sigma2,raw,0.5,0.2247073414994106,decreasing,0.8727027027027027
nested,sigma2,raw,0.7,0.1625496232398715,decreasing,0.7648918918918919
nested,sigma2,raw,0.9,0.0804818317787141,decreasing,0.5105945945945946
nested,mu1,raw,0.3,73.64646788969665,decreasing,1.0
nested,mu1,raw,0.5,73.64646788969665,decreasing,1.0
nested,mu1,raw,0.7,13.145505539476588,decreasing,0.9606756756756757
nested,mu1,raw,0.9,1.0001489371590384,decreasing,0.00048648648648648646
nested,mu2,raw,0.3,1.000002979438262,increasing,1.0
nested,mu2,raw,0.5,1.000002979438262,increasing,1.0
nested,mu2,raw,0.7,1.000324590633437,increasing,0.9998108108108108
nested,mu2,raw,0.9,36.38633900310599,increasing,0.04367567567567567
nested,omega_outer,physical,0.3,7.859029901512154,decreasing,0.9962972972972973
